journal,field,openalex_id,doi,title,publication_date,authors,cited_by_count,abstract
American Economic Review,econ,https://openalex.org/W4406965674,https://doi.org/10.1257/aer.115.2.i,Front Matter,2025-01-30,,0,
American Economic Review,econ,https://openalex.org/W4408028013,https://doi.org/10.1257/aer.20230505,"How Competitive Is the Stock Market? Theory, Evidence from Portfolios, and Implications for the Rise of Passive Investing",2025-02-28,Valentin Haddad; Paul Huebner; Erik Loualiche,27,"The conventional wisdom in finance is that competition is fierce among investors: if a group changes its behavior, others adjust their strategies such that nothing happens to prices. We estimate a demand system with flexible strategic responses for institutional investors in the US stock market. When less aggressive traders surround an investor, she adjusts by trading more aggressively. However, this strategic reaction only counteracts two-thirds of the impact of the initial change in behavior. In light of these estimates, the rise in passive investing over the last 20 years has made the demand for individual stocks 11 percent more inelastic. (JEL G11, G14, G23, G41)"
American Economic Review,econ,https://openalex.org/W4408028022,https://doi.org/10.1257/aer.20221722,Internationalizing Like China,2025-02-28,C.R.I. Clayton; Amanda dos Santos; Matteo Maggiori; Jesse Schreger,17,"We empirically characterize how China is internationalizing its bond market by staggering the entry of different types of foreign investors into its domestic market and propose a dynamic reputation model to explain this strategy. Our framework rationalizes China’s strategy as trying to build credibility as a safe issuer while reducing the cost of capital flight. We use our framework to shed light on China’s response to episodes of capital outflows. (JEL E44, F38, G12, G15, G23, O16, P34)"
American Economic Review,econ,https://openalex.org/W4408054573,https://doi.org/10.1257/aer.20221234,Land Rental Markets: Experimental Evidence from Kenya,2025-02-28,Michelle Acampora; Lorenzo Casaburi; Jack Willis,10,"Do land market frictions cause misallocation in agriculture? In a field experiment in western Kenya, we randomly subsidize owners to rent out land. Induced rentals mostly persist after the subsidy ends and increase output and value added, consistent with misallocation. Gains from trade arise from renters choosing higher-value crops, having higher productivity, and adopting more nonlabor inputs, while renters use similar quantities of labor as owners. Induced rentals are not those with the largest predicted gains, underlining the importance of the joint distribution of gains and frictions, with frictions arising from search, risk, and learning.(JEL C93, O13, O18, Q12, Q15, Q24, R52)"
American Economic Review,econ,https://openalex.org/W4408054562,https://doi.org/10.1257/aer.20220846,The Decline of Too Big to Fail,2025-02-28,Antje Berndt; Darrell Duffie; Yichao Zhu,5,"For globally systemically important banks (GSIBs) with US headquarters, we find significant reductions in market-implied probabilities of government bailout after the Global Financial Crisis (GFC), along with roughly 170 percent higher wholesale debt financing costs for these banks after controlling for insolvency risk. Since the GFC, bank creditors appear to expect much larger losses in the event that a GSIB approaches insolvency. In this sense, we estimate a decline of “too big to fail.” (G01, G12, G21, G28, G33, H81)"
American Economic Review,econ,https://openalex.org/W4408054554,https://doi.org/10.1257/aer.20231133,Do Ordeals Work for Selection Markets? Evidence from Health Insurance Auto-Enrollment,2025-02-28,Mark Shepard; Myles Wagner,3,"Are application hassles, or “ordeals,” an effective way to limit public program enrollment? We provide new evidence by studying (removal of) an auto-enrollment policy for health insurance, adding an extra step to enroll. This minor ordeal has a major impact, reducing enrollment by 33 percent and differentially excluding young, healthy, and economically disadvantaged people. Using a simple model, we show adverse selection—a classic feature of insurance markets—undermines ordeals’ standard rationale of excluding low-value individuals since they are also low-cost and may not be inefficient. Our analysis illustrates why ordeals targeting is unlikely to work well in selection markets. (JEL D82, G22, H75, I13, I18)"
American Economic Review,econ,https://openalex.org/W2341847281,https://doi.org/10.1257/aer.20162018,Ownership Concentration and Strategic Supply Reduction,2025-02-28,Ulrich Doraszelski; Katja Seim; Michael Sinkinson; Will Peichun Wang,16,"We explore the implications of ownership concentration for the recently concluded incentive auction that repurposed spectrum from broadcast TV to mobile broadband usage in the United States. We document significant multilicense ownership of TV stations. We show that in the reverse auction, in which TV stations bid to relinquish their licenses, multilicense owners have an incentive to withhold some TV stations to drive up prices for their remaining TV stations. Using a large-scale valuation and simulation exercise, we find that this strategic supply reduction increases payouts to TV stations by between 13.5 percent and 42.4 percent. (D44, D47, H82, L13, L82, L88)"
American Economic Review,econ,https://openalex.org/W4408054571,https://doi.org/10.1257/aer.20211229,Mortgage Pricing and Monetary Policy,2025-02-28,Matteo Benetton; Alessandro Gavazza; Paolo Surico,5,"This paper examines how central bank policies influence mortgage pricing in the United Kingdom. It shows that lenders price discriminate by offering two-part tariffs of interest rates and origination fees, and during unconventional monetary policies like the Funding for Lending Scheme, lenders reduced interest rates while increasing fees. Using a model of mortgage demand and lender competition, we find that central bank policies increased mortgage lending. Additionally, banning origination fees would reduce lending, as fees help lenders capture surplus while allowing them to price discriminate across borrowers with different sensitivities to rates and fees. (JEL E43, E52, E58, G21, G28, R31)"
American Economic Review,econ,https://openalex.org/W4408054547,https://doi.org/10.1257/aer.20220528,Corruption as a Local Advantage: Evidence from the Indigenization of Nigerian Oil,2025-02-28,Jonah Rexer,4,"Multinationals in the extractive sectors of weak states face resource theft by armed groups. Criminality is often abetted by state corruption, even though firms are willing to pay for protection. I study indigenization in Nigeria’s oil sector, which increased local firms’ participation substantially. Despite lower quality, local firms increase output by reducing oil theft. A bargaining model illustrates that political connections align law enforcement incentives, solving commitment problems. Data on law enforcement raids show that local firms receive preferential protection. Connections to military elites drive the local advantage. The aggregate gains from indigenization are at most between 2.3 and 5.7 percent of GDP. (JEL D73, F23, L71, O13, O17, Q34, Q35)"
American Economic Review,econ,https://openalex.org/W4408054567,https://doi.org/10.1257/aer.115.3.i,Front Matter,2025-02-28,,0,
American Economic Review,econ,https://openalex.org/W4408999048,https://doi.org/10.1257/aer.20230501,Fighting Climate Change: International Attitudes toward Climate Policies,2025-03-31,Antoine Dechezleprêtre; Adrien Fabre; Tobias Kruse; Bluebery Planterose; Ana Sánchez Chico; Stefanie Stantcheva,112,"This paper explores global perceptions and understanding of climate change and policies, examining factors that influence support for climate action and the impact of different types of information. We conduct large-scale surveys with 40,000 respondents from 20 countries, providing new international data on attitudes toward climate change and respondents’ socioeconomic backgrounds and lifestyles. We identify three key perceptions affecting policy support: perceived effectiveness of policies in reducing emissions, their impact on low-income households, and their effect on respondents’ households (self-interest). Educational videos clarifying policy mechanisms increase support for climate policies; those merely highlighting climate change’s impacts do not. (JEL C83, D83, D91, Q54, Q58)"
American Economic Review,econ,https://openalex.org/W4409035886,https://doi.org/10.1257/aer.20231087,Cultural Distance and Ethnic Civil Conflict,2025-03-31,Eleonora Guarnieri,16,"Ethnically diverse countries are more prone to conflict, but why do some groups engage in conflict, while others do not? I show that civil conflict in Africa is explained by ethnic groups’ cultural distance to the central government: an increase in cultural distance, proxied by linguistic distance, increases an ethnicity’s propensity to fight over government power. To identify this effect, I leverage within-ethnicity variation in linguistic distance resulting from power transitions between ethnic groups over time. I provide evidence that the effects can be attributed to differences in preferences over both the allocation and the type of public goods. (JEL D74, H41, J15, N47, O15, O17, Z13)"
American Economic Review,econ,https://openalex.org/W4409035875,https://doi.org/10.1257/aer.20200704,Trade Shocks and Credit Reallocation,2025-03-31,Stefano Federico; Fadi Hassan; Veronica Rappoport,9,"This paper identifies a credit-supply contraction that arises endogenously after trade liberalization. Banks with loan portfolios concentrated in sectors exposed to competition from China face an increase in nonperforming loans after China’s entry into the World Trade Organization. As a result, they reduce the supply of credit to firms, irrespective of the firm’s sector of operation. This cut in credit translates into lower employment, investment, and output. Through this mechanism, the financial channel amplifies the shock to firms already hit by import competition from China and passes it on to firms in sectors expected to expand upon trade liberalization. (JEL D22, F14, G21, G31, G32, L25, P33)"
American Economic Review,econ,https://openalex.org/W4409035904,https://doi.org/10.1257/aer.20190650,"Fragile New Economy: Intangible Capital, Corporate Savings Glut, and Financial Instability",2025-03-31,Ye Li,17,"The transition toward an intangible-intensive economy reshapes financial systems by creating a self-perpetuating savings glut in the production sector. As intangibles become increasingly important, firms hoard liquidity to finance investment in intangibles of limited pledgeability. Firms’ savings feed cheap leverage to financial intermediaries and allow intermediaries to bid up asset prices, which in turn encourages firms to save more for asset creation. This paper develops a macrofinance model that offers a coherent account of rising corporate savings, debt-fueled growth of intermediaries, declining interest rates, and rising asset valuation. Along these secular trends, endogenous financial risk accumulates. (JEL E43, E44, G12, G21, G31, G32)"
American Economic Review,econ,https://openalex.org/W4409035865,https://doi.org/10.1257/aer.20201425,Product Differentiation and Oligopoly: A Network Approach,2025-03-31,Bruno Pellegrino,16,"I present a new theory of oligopoly and markups in general equilibrium, based on an innovative, scalable hedonic demand system, which I take to the data for the universe of US public firms. In my model, firms compete in a network of product market rivalries that emerge endogenously out of the characteristics of the products they supply. I estimate that consumer surplus is almost three times as large as profits; decompose firm-level markups into metrics of quality-adjusted productivity and market centrality; and analyze the extent, evolution, and drivers of monopoly power in the United States between 1995 and 2021. (JEL D21, D43, D85, G34, L13, L14)"
American Economic Review,econ,https://openalex.org/W4409035877,https://doi.org/10.1257/aer.115.4.1059,Presidential Address: The Economist as Designer in the Innovation Process for Socially Impactful Digital Products,2025-03-31,Susan Athey,1,"This paper provides an economic perspective on data-driven innovation in digital products, focusing on the role of complex experiments in measuring and improving social impact. The discussion highlights how tools and insights from economics contribute to each stage of the innovation process. Key contributions include identifying problems, developing theoretical frameworks, translating goals into measurable outcomes, analyzing historical data, and estimating counterfactual outcomes. The paper also surveys recently developed tools designed to address challenges in designing and analyzing data from complex experiments. (JEL A11, D83, D91, I20, L80, O31, Q16)"
American Economic Review,econ,https://openalex.org/W4408999063,https://doi.org/10.1257/aer.20231008,When Money Dies: The Dynamics of Speculative Hyperinflations,2025-03-31,Guillaume Rocheteau,1,"How quickly does a fiat money become valueless? I study the speculative hyperinflation equilibria of continuous-time economies with decentralized markets where money is essential. I establish necessary and sufficient conditions under which money dies in finite time. A necessary condition is that the liquidity return of money grows unbounded as the value of money approaches zero. Under CRRA preferences, the longevity of money shrinks with the money growth rate and the frequency of liquidity needs, but it increases with seller’s market power. Money duration also depends on the strictness of legal restrictions and the rates of return of competing currencies. (JEL E31, E42, E51, E52, E62)"
American Economic Review,econ,https://openalex.org/W4409035887,https://doi.org/10.1257/aer.115.4.i,Front Matter,2025-03-31,,0,
American Economic Review,econ,https://openalex.org/W4409035912,https://doi.org/10.1257/aer.20220130,Weighted Linear Discrete Choice,2025-03-31,Christopher P. Chambers; Yusufcan Masatlıoĝlu; Paulo Natenzon; Collin Raymond,0,"We introduce a new model of stochastic choice that assigns each choice option a utility, along with a salience parameter reflecting economic frictions. We characterize our model behaviorally and investigate its comparative statics properties. We show that the model generates intuitive closed-form solutions in equilibrium settings where firms can choose price, quality, and advertising. In addition, we show that the model allows for flexible substitution patterns and changes in market shares across choice sets. We demonstrate that our model can be easily identified and can outperform alternatives in demand prediction. (JEL D11, D21, D43, M37)"
American Economic Review,econ,https://openalex.org/W4409963065,https://doi.org/10.1257/aer.20231304,When Do Nudges Increase Welfare?,2025-05-01,Hunt Allcott; Daniel Cohen; William H. Morrison; Dmitry Taubinsky,8,"We use public finance sufficient statistic approaches to characterize the welfare effects of “nudges,” such as simplified information and warning labels, in markets with taxes and endogenous prices. While many studies focus on average effects, we show that welfare also depends on how the nudge affects the variance of choice distortions, and average effects become irrelevant with zero pass-through or optimal taxes. We implement the framework with experiments evaluating automotive fuel economy labels and sugary drink health labels. Labels decrease purchases of low-fuel economy cars and sugary drinks but may decrease welfare because they increase the variance of choice distortions. (JEL D18, D62, D83, D91, H21, L62, L66)"
American Economic Review,econ,https://openalex.org/W4409963014,https://doi.org/10.1257/aer.20220276,Does Entry Remedy Collusion? Evidence from the Generic Prescription Drug Cartel,2025-05-01,Amanda Starc; Thomas Wollmann,6,"Entry represents a fundamental threat to cartels. We study the extent and effect of this behavior in the largest price-fixing case in US history, which involves generic drug manufacturing. We link information on the cartel’s internal operations to regulatory filings and market data. There is a substantial increase in entry after cartel formation, but regulatory approvals delay most entrants by two to four years. We estimate a structural model and simulate counterfactual equilibria. Absent entry, cartel profits would be dramatically higher. Correspondingly, reducing regulatory delays by just 1–2 years equates to consumer compensating variation of $612 million–$1.5 billion. (JEL L12, L13, L25, L51, L65, M31, O34)"
American Economic Review,econ,https://openalex.org/W4409963015,https://doi.org/10.1257/aer.20231612,Selling Subscriptions,2025-05-01,Liran Einav; Ben Klopack; Neale Mahoney,6,"We study one benefit to firms of selling subscriptions: the prospect that consumers will continue to pay for subscriptions they no longer value. We use comprehensive data from a large payment card network to document that months during which cards are replaced, when active renewal is required, are associated with much higher rates of cancellation. Using two stylized models of consumer inertia—driven by inattention or switching costs—we estimate that these cancellation frictions roughly double seller revenues on average, holding fixed initial subscribers. We use the estimated models to explore the impact of possible regulatory remedies. (JEL D12, D18, L81, L88)"
American Economic Review,econ,https://openalex.org/W4409963010,https://doi.org/10.1257/aer.20231067,Changing Tracks: Human Capital Investment after Loss of Ability,2025-05-01,Anders Humlum; Jakob Roland Munch; Pernille Plato,4,"We provide the first evidence on how workers invest in human capital after losing ability. Using quasi-random work accidents in Danish administrative data, we find that workers enroll in bachelor’s programs after physical injuries, pursuing degrees that build on their past training and experience. Exploiting institutional differences in the stackability of degrees, we find that higher education moves injured workers from disability benefits to full-time employment, earning 25 percent more than before injury. Reskilling subsidies for injured workers pay for themselves four times over, and current rates of reskilling are substantially below the social optimum, especially for middle-aged workers. (JEL I26, J14, J24, J62)"
American Economic Review,econ,https://openalex.org/W4409962861,https://doi.org/10.1257/aer.20230346,The Role of People versus Places in Individual Carbon Emissions,2025-05-01,Eva Lyubich,3,"There is substantial spatial heterogeneity in household carbon emissions. I leverage movers in two decades of administrative Decennial Census and American Community Survey data to estimate place effects—the amount by which carbon emissions change for the same household living in different places—for almost 1,000 cities and roughly 61,500 neighborhoods across the United States. I estimate that place effects account for 14–23 percent of overall heterogeneity. A change in neighborhood-level place effects from 1 standard deviation above the mean to 1 below would reduce household carbon emissions from residential energy and commuting by about 40 percent. (JEL D12, D15, L94, Q41, Q54, R11, R23)"
American Economic Review,econ,https://openalex.org/W4409963028,https://doi.org/10.1257/aer.20240226,How Do Mental Health Treatment Delays Impact Long-Term Mortality?,2025-05-01,Sydney Costantini,5,"With a growing mental health crisis and a shortage of behavioral health specialists, those seeking mental health treatment often face long wait times to obtain care. I study how clinic congestion affects mortality for veterans experiencing mental health emergencies. I find that longer waiting times make it more likely that patients miss their follow-up mental health visit, consequently increasing the probability that they permanently disengage from care. A 1 standard deviation increase in wait time between the emergency department visit and follow-up appointment date (11.7 days) increases two-year mortality by about 1.5 percent. (JEL H51, I12, I13, I18)"
American Economic Review,econ,https://openalex.org/W4409962852,https://doi.org/10.1257/aer.20230524,Efficiency in Household Decision-Making: Evidence from the Retirement Savings of US Couples,2025-05-01,Taha Choukhmane; Lucas Goodman; Cormac O’Dea,2,"We study how couples allocate retirement-saving contributions across each spouse’s account. In a new dataset covering over a million US individuals, we find retirement contributions are not allocated to the account with the highest employer match rate. This lack of coordination—which goes against the assumptions of most models of household decision-making—is common, costly, persistent over time, and cannot be explained by inertia, auto-enrollment, or simple heuristics. Complementing the administrative evidence with an online survey, we find that inefficient allocations reflect both financial mistakes as well as deliberate choices, especially when trust and commitment inside the households are weak. (JEL D13, G51, J26, J32)"
American Economic Review,econ,https://openalex.org/W4409963023,https://doi.org/10.1257/aer.20231529,Risk Aversion and Insurance Propensity,2025-05-01,Fabio Maccheroni; Mássimo Marinacci; Ruodu Wang; Qinyu Wu,2,"We provide a new foundation of risk aversion by showing that this attitude is fully captured by the propensity to seize insurance opportunities. In our main results, we first characterize Arrow-Pratt (1963–1964) risk aversion in terms of propensity to full insurance and the stronger notion of risk aversion of Rothschild and Stiglitz (1970) in terms of propensity to partial insurance. We then extend the analysis to comparative risk aversion by showing that the classical notion of Yaari (1969) corresponds to comparative propensity to full insurance, while the stronger notion of Ross (1981) corresponds to comparative propensity to partial insurance. (JEL D81, G22, G52)"
American Economic Review,econ,https://openalex.org/W4409963049,https://doi.org/10.1257/aer.115.5.1369,Presidential Address: Investing in Children to Address the Child Mental Health Crisis,2025-05-01,Janet Currie,2,"The child mental health crisis has been described as the “defining public health crisis of our time.” This article addresses three myths about the crisis: (i) the idea that the crisis is new; (ii) the belief that increases in youth suicide mainly reflect deterioration in children’s underlying mental health; and (iii) the myth that investments in children have little impact on children’s mental health. In fact, the crisis has existed for decades, youth suicides vary asynchronously with other mental health measures and are impacted by external factors such as firearms legislation, and investments can improve child mental health and prevent suicide. (JEL I12, I18, J13, J16)"
American Economic Review,econ,https://openalex.org/W4409962999,https://doi.org/10.1257/aer.115.5.i,Front Matter,2025-05-01,,0,
American Economic Review,econ,https://openalex.org/W4410897227,https://doi.org/10.1257/aer.20231246,Corporate Discount Rates,2025-05-30,Niels Joachim Gormsen; Kilian Huber,14,"We construct a dataset of firms’ discount rates (i.e., required returns to capital) and perceived cost of capital using corporate conference calls. The relation between discount rates and the cost of capital is far below the one-to-one mapping assumed in standard theory, as it takes many years for changes in the cost of capital to be incorporated into discount rates. This pattern leads to large and time-varying discount rate wedges that affect firm investment. Moreover, increasing discount rate wedges can account for the recent puzzle of “missing investment.” Cross-firm variation in market power and riskiness explains the evolution of wedges. (JEL D22, E43, G12, G31, G32)"
American Economic Review,econ,https://openalex.org/W4410897169,https://doi.org/10.1257/aer.115.6.1709,"Nobel Lecture: Institutions, Technology, and Prosperity",2025-05-30,Daron Acemoğlu,9,"This paper reviews the main motivations and arguments of my work on comparative development, colonialism, and institutional change, which was often carried out jointly with James Robinson and Simon Johnson. I then provide a simple framework to organize these ideas and connect them with my research on innovation and technology. The framework is centered around a utility-technology possibilities frontier, which delineates the possible distributions of resources in a society both for given technology and working via different technological choices. It highlights how various types of institutions, market structures, norms, and ideologies influence moves along the frontier and shifts of the frontier, and it provides a simple formalization of the social forces that lead to institutional persistence and those that can trigger institutional change. The framework also enables us to conceptualize how, during periods of disruption, existing—and sometimes quite small—differences can have amplified effects on prosperity and institutional trajectories. In this way, it suggests some parallels between different disruptive periods, including the onset of European colonialism, the spread (or lack thereof) of industrial technologies in the nineteenth century, and decisions related to the use, adoption, and development of AI today. (JEL D02, D72, E23, F54, O43)"
American Economic Review,econ,https://openalex.org/W4410897393,https://doi.org/10.1257/aer.20221650,Targeting Impact versus Deprivation,2025-05-30,Johannes Haushofer; Paul Niehaus; Carlos Paramo; Edward Miguel; Michael Walker,5,"A large literature has examined how best to target antipoverty programs to those most deprived in some sense (e.g., consumption). We examine the potential trade-off between this objective and targeting those most impacted by such programs. We work in the context of an NGO cash transfer program in Kenya, employing recent advances in machine learning methods and dynamic outcome data to learn proxy means tests that jointly target both objectives. Targeting solely on the basis of deprivation is not attractive in this setting under standard social welfare criteria unless the planner’s preferences are extremely redistributive. (JEL C45, D63, I31, I38, L31, O15)"
American Economic Review,econ,https://openalex.org/W4410897026,https://doi.org/10.1257/aer.20200374,"The Geographic Flow of Bank Funding and Access to Credit: Branch Networks, Synergies, and Local Competition",2025-05-30,Vı́ctor Aguirregabiria; Robert L. Clark; Wánɡ Huī,4,"Geographic dispersion of depositors, borrowers, and banks may prevent funding from flowing to high-loan-demand areas, limiting credit access. Using bank-county-year-level data, we provide evidence of geographic imbalance of deposits and loans and develop a methodology for investigating the contribution to this imbalance of branch networks, market power, and scope economies. Results are based on a novel measure of imbalance and estimation of a structural model of bank competition that admits interconnections across locations and between deposit and loan markets. Counterfactual experiments show branch networks, scope economies, and local competition affect credit flow to disadvantaged markets. (JEL C43, G21, G28, L13, R32)"
American Economic Review,econ,https://openalex.org/W4410897241,https://doi.org/10.1257/aer.20221499,Fiscal Policy and Credit Supply in a Crisis,2025-05-30,Diana Bonfim; Miguel A. Ferreira; Francisco Queiró; Sujiao Zhao,4,"We measure how cuts to public procurement propagate through the banking system in a financial crisis. During the European sovereign debt crisis, the Portuguese government cut procurement spending by 4.3 percent of GDP. We find that this cut saddled banks with nonperforming loans from government contractors, which led to a persistent reduction in credit supply to other firms. We estimate a bank-level elasticity of credit supply with respect to procurement demand of 2.5. In a general equilibrium model, our findings point to large effects of fiscal policy on credit supply and output in a crisis. (JEL E23, E44, E62, G01, G21, H57)"
American Economic Review,econ,https://openalex.org/W4410897231,https://doi.org/10.1257/aer.20231597,Optimal Security Design for Risk-Averse Investors,2025-05-30,Alex Gershkov; Benny Moldovanu; Philipp Strack; Mengxi Zhang,2,"We use the tools of mechanism design combined with the theory of risk measures to analyze how a cash-constrained owner of an asset with known, stochastic returns raises capital from a population of investors who differ in their risk aversion and budget constraints. The issuer partitions the asset’s cash flow into several asset-backed securities, one for each type of investor. The optimal partition conforms to the commonly observed practice of tranching into senior debt, junior debt, and equity. Tranching arises endogenously due to the differences in risk appetites among agents and in the budget constraints they face. (JEL D81, D82, G12, G41, G51)"
American Economic Review,econ,https://openalex.org/W4410897158,https://doi.org/10.1257/aer.20230758,Leaders in Social Movements: Evidence from Unions in Myanmar,2025-05-30,Laura Boudreau; Rocco Macchiavello; Virginia Minni; Mari Tanaka,3,"Social movements are catalysts for crucial institutional changes. To succeed, they must coordinate members’ views (consensus building) and actions (mobilization). We study union leaders within Myanmar’s burgeoning labor movement. Union leaders are positively selected on both ability and personality traits that enable them to influence others, yet they earn lower wages. In group discussions about workers’ views on an upcoming national minimum wage negotiation, randomly embedded leaders build consensus around the union’s preferred policy. In an experiment that mimics individual decision-making in a collective action setup, leaders increase mobilization through coordination. (JEL D91, J38, J51, O15)"
