journal,field,openalex_id,doi,title,publication_date,authors,cited_by_count,abstract,matched_keywords
Quarterly Journal of Economics,econ,https://openalex.org/W4410382978,https://doi.org/10.1093/qje/qjaf023,Lives Versus Livelihoods: The Impact of the Great Recession on Mortality and Welfare,2025-05-13,Amy Finkelstein; Matthew Notowidigdo; Frank Schilbach; Jonathan Zhang,3,"ABSTRACT We leverage spatial variation in the severity of the Great Recession across the United States to examine its impact on mortality and explore the quantitative implications. We estimate that an increase in the unemployment rate of the magnitude of the Great Recession reduces the average annual age-adjusted mortality rate by 2.3%, with effects persisting for at least 10 years. Mortality reductions appear across causes of death and are concentrated in the half of the population with a high school degree or less. We estimate similar percentage reductions in mortality at all ages, with declines in elderly mortality thus responsible for about three-quarters of the total mortality reduction. Recession-induced mortality declines are driven primarily by external effects of reduced aggregate economic activity on mortality, and reduced air pollution appears to be a quantitatively important mechanism. Incorporating our estimates of procyclical mortality into a standard macroeconomic framework substantially reduces the welfare costs of recessions, particularly for people with less education, and at older ages.",pollution
Review of Economic Studies,econ,https://openalex.org/W4408141482,https://doi.org/10.1093/restud/rdaf012,"Institutions, Comparative Advantage, and the Environment",2025-02-25,Joseph Shapiro,8,"Abstract This paper proposes that strong institutions provide comparative advantage in clean industries, and thereby improve a country’s environmental quality. I study financial, judicial, and labour market institutions. Five complementary tests evaluate and assess implications of this hypothesis. First, industries that depend on institutions are clean. Second, strong institutions increase relative exports in clean industries. Third, an industry’s complexity helps explain the link between institutions and clean goods. Fourth, cross-country differences in the composition of output between clean and dirty industries explain an important share of the global distribution of emissions. Fifth, a quantitative general equilibrium model indicates that strengthening a country’s institutions decreases its pollution through relocating dirty industries abroad, though increases pollution in other countries. The comparative advantage that strong institutions provide in clean industries gives one under-explored reason why developing countries have relatively high pollution levels.",emission; pollution; environmental
Review of Economic Studies,econ,https://openalex.org/W3185774210,https://doi.org/10.1093/restud/rdaf018,"“Bad” Oil, “Worse” Oil, and Carbon Misallocation",2025-03-11,Renaud Coulomb; Fanny Henriet; Léo Reitzmann,1,"Abstract Not all barrels of oil are created equal: their extraction varies in both private cost and carbon intensity. Leveraging a comprehensive micro-dataset on world oil fields, alongside detailed estimates of carbon intensities and private extraction costs, this study quantifies the additional emissions and costs from having extracted the “wrong” deposits. We do so by comparing historical deposit-level supplies to counterfactuals that factor in pollution costs, while keeping annual global consumption unchanged. Between 1992 and 2018, carbon misallocation amounted to at least 11.00 gigatons of CO2-equivalent (GtCO2eq), incurring an environmental cost evaluated at $2.2 trillion (US$ 2018). This translates into a significant supply-side ecological debt for major producers of high-carbon oil. Looking forward, we estimate the gains from making deposit-level extraction socially optimal at about 9.30 GtCO2eq, valued at $1.9 trillion, along a future aggregate demand pathway coherent with the objective of net-zero emissions in 2050, and document unequal reserve stranding across oil nations.",carbon; emission; pollution; environmental
Review of Economic Studies,econ,https://openalex.org/W3159672012,https://doi.org/10.1093/restud/rdaf024,Colluding Against Environmental Regulation,2025-04-12,Jorge Alé‐Chilet; Cuicui Chen; Jing Li; Mathias Reynaert,8,"Abstract We study collusion among firms against imperfectly monitored environmental regulation. Firms increase variable profits by violating regulation and reduce expected noncompliance penalties by violating jointly. We consider a case of three German automakers colluding to reduce the effectiveness of emissions control technology. By estimating a structural model of the European automobile industry from 2007 to 2018, we find that collusion lowers expected noncompliance penalties substantially and increases buyer and producer surplus. Due to increased pollution, welfare decreases by € 1.57–5.57 billion. We show how environmental policy design and antitrust play complementary roles in preventing noncompliance.",emission; pollution; environmental
Review of Economic Studies,econ,https://openalex.org/W4410615031,https://doi.org/10.1093/restud/rdaf031,Efficient Conservation of the Brazilian Amazon: Estimates from a Dynamic Model,2025-05-06,R. Nazaré O. de Araújo; Francisco Costa; Marcelo Castello Branco Sant'Anna,4,"Abstract This paper estimates the Brazilian Amazon’s carbon-efficient forest cover—i.e. when farmers internalize the social cost of carbon. We propose a dynamic discrete choice land-use model and estimate it using a panel of land use and carbon stock of 5.7 billion pixels between 2008 and 2017. The business-as-usual scenario implies an inefficient release of 42 billion tons of CO2 in the long run, resulting from the deforestation of an area twice the size of France. A carbon tax that makes farmers internalize the social cost of carbon would implement the efficient allocation and generate welfare gains exceeding 1.6 trillion dollars. Responses from a carbon tax are highly convex: a carbon tax of only $10/ton would preserve 95% of the efficient carbon stock. An excise tax on cattle ranching, a second-best policy, achieves at most 87% of the first-best welfare gains.",carbon; deforestation
Review of Economic Studies,econ,https://openalex.org/W3183258333,https://doi.org/10.1093/restud/rdaf088,The Origins and Control of Forest Fires in the Tropics,2025-10-01,Clare Balboni; Robin Burgess; Benjamin Olken,16,"Abstract Environmental externalities—uncompensated damages imposed on others—lie at the root of climate change, pollution, deforestation and biodiversity loss. Empirical evidence is limited, however, as to how externalities drive private decision making. We study one such behaviour, illegal tropical forest fires, using 15 years of daily satellite data covering over 107,000 fires across Indonesia. Weather-induced variation in fire spread risk and variation in who owns surrounding land allow us to identify how far externalities influence the decision to use fire. Relative to when all spread risks are internalized, we find that firms overuse fire when surrounded by unleased government lands where property rights are weak. In contrast, and consistent with the Coase Theorem, firms treat risks to nearby private concessions similarly to risks to their own land. Government sanctions, concentrated on fires spreading to populated areas, also deter fires, consistent with Pigouvian deterrence.",climate; biodiversity; deforestation; pollution; environmental
Review of Economic Studies,econ,https://openalex.org/W4416736956,https://doi.org/10.1093/restud/rdaf095,All Along the Watchtower: Military Landholders and Serfdom Consolidation in Early Modern Russia,2025-11-27,Andrea Matranga; Timur Natkhov,1,"Abstract This article examines the emergence of coercive labour institutions using the case of serfdom in early modern Russia. We argue that serfdom consolidated under the pressure of landholding military elites who gained political influence due to the prolonged struggle with steppe nomads. To contain nomadic raids, the Russian state erected defence lines on the southern frontier, and granted land in the area to soldiers in charge of its defence. The soldiers could not farm while on defence duty, nor could they compete in the market for peasant labour, as the land had been selected for its defensive rather than agricultural value. The system was therefore only sustainable by restricting labour mobility. In response to the volume of landholders’ collective petitions, the Russian state gradually tied peasants to the land and institutionalized serfdom in the written law. Using newly digitized population data from the 17th century, we show a higher prevalence of serfs and military landholders in districts on the defence line. We also find a higher prevalence of small estates—up to 25 serf households—sufficient to support a soldier and his family. Placebo tests show that these patterns do not hold for non-serf peasants, or for merchants and artisans. To ensure causality, we develop a novel algorithm that reconstructs the optimal invasion routes for nomads and pinpoints the optimal location of the defence line using topographic data. Our results highlight the primacy of political economy factors over purely economic ones, such as the land–labour ratio or the grain trade, in the development of serfdom. This sheds new light on the possible mechanisms of institutional divergence between Eastern and Western Europe in the early modern period.",sustainable
Journal of Finance,finance,https://openalex.org/W4406319749,https://doi.org/10.1111/jofi.13416,Pricing Poseidon: Extreme Weather Uncertainty and Firm Return Dynamics,2025-01-13,Mathias S. Kruttli; Brigitte Roth Tran; Sumudu W. Watugala,50,"ABSTRACT We empirically analyze firm‐level uncertainty generated from extreme weather events, guided by a theoretical framework. Stock options of firms with establishments in a hurricane's (forecast) landfall region exhibit large implied volatility increases, reflecting significant uncertainty (before) after impact. Volatility risk premium dynamics reveal that investors underestimate such uncertainty. This underreaction diminishes for hurricanes after Sandy, a salient event that struck the U.S. financial center. Despite constituting idiosyncratic shocks, hurricanes affect hit firms' expected stock returns. Textual analysis of calls between firm management, analysts, and investors reveals that discussions about hurricane impacts remain elevated throughout the long‐lasting high‐uncertainty period after landfall.",extreme weather; weather uncertainty
Journal of Finance,finance,https://openalex.org/W4406710300,https://doi.org/10.1111/jofi.13425,The Allocation of Socially Responsible Capital,2025-01-22,Dan Green; Benjamin Roth,33,"ABSTRACT Portfolio allocation decisions increasingly incorporate social values. We develop a tractable framework to study how competition between investors to own socially valuable assets affects social welfare. Relative to the most common social‐investing strategies, we identify alternative strategies that result in higher impact and higher financial returns. We identify strategies for investors to have impact when impact is difficult to measure. From the firm's perspective, increasing profitability can have greater impact than directly increasing social value. We present new empirical evidence on the social preferences of investors that demonstrates the practical relevance of our theory.",socially responsible
Journal of Finance,finance,https://openalex.org/W4407049277,https://doi.org/10.1111/jofi.13427,Feedback Effects and Systematic Risk Exposures,2025-01-30,Snehal Banerjee; Bradyn M. Breon-Drish; Kevin M. Smith,8,"ABSTRACT We model the “feedback effect” of a firm's stock price on investment in projects exposed to a systematic risk factor, like climate risk. The stock price reflects information about both the project's cash flows and its discount rate. A cash‐flow‐maximizing manager treats discount rate fluctuations as “noise,” but a price‐maximizing manager interprets such variation as information about the project's net present value. This difference qualitatively changes how investment behavior varies with the project's risk exposure. Moreover, traditional objectives (e.g., cash flow or price maximization) need not maximize welfare because they do not correctly account for hedging and risk‐sharing benefits of investment.",climate; climate risk
Journal of Finance,finance,https://openalex.org/W4414629200,https://doi.org/10.1111/jofi.13499,Green Window Dressing,2025-09-29,Gianpaolo Parise; Mirco Rubin,2,"ABSTRACT This paper establishes that mutual funds strategically time their trades in environmental, social, and governance (ESG) stocks around disclosure dates to inflate their sustainability ratings. This claim is supported by three empirical findings. First, we show that funds' ESG betas increase shortly before disclosure and decrease shortly afterwards. Second, we document that post‐disclosure fund returns are higher but have lower ESG exposure than disclosed portfolios. Third, we provide evidence that ESG stock prices temporarily rise before disclosure and decline afterwards. Overall, we establish that green window dressing positively impacts fund sustainability ratings, performance, and flows.",esg; sustainability; environmental
Journal of Finance,finance,https://openalex.org/W4414626773,https://doi.org/10.1111/jofi.13498,"ESG News, Future Cash Flows, and Firm Value",2025-09-30,François Derrien; Philipp Krüger; Augustin Landier; Tianhao Yao,7,"ABSTRACT We investigate the expected consequences of negative environmental, social, and governance (ESG) news on firms' future profits. After learning about negative ESG news, analysts significantly downgrade their forecasts at short and longer horizons. Negative ESG news affects forecasts more strongly at longer horizons than other types of negative corporate news. The negative revisions of earnings forecasts following negative ESG news largely reflect expectations of lower future sales, rather than higher future costs. Quantitatively, forecast revisions can explain most of the negative impacts of ESG news on firm value. Analysts are correct to revise forecasts downward following negative ESG news.",esg; environmental
Journal of Finance,finance,https://openalex.org/W4417351197,https://doi.org/10.1111/jofi.70004,An Economic View of Corporate Social Impact,2025-12-15,Hunt Allcott; Giovanni Montanari; Bora Ozaltun; Brandon Tan,0,"ABSTRACT Growing discussions of impact investing and stakeholder capitalism have increased interest in measuring companies' social impact. We conceptualize corporate social impact as the welfare loss that would be caused by a firm's exit. To illustrate, we quantify the social impacts of 74 firms in 12 industries using a new survey measuring consumer and worker substitution patterns combined with models of product and labor markets. We find that consumer surplus is the primary component of social impact, suggesting that consumer impacts deserve more attention from impact investors. Existing environmental, social, and governance (ESG) and social impact ratings are essentially unrelated to our economically grounded measures.",esg; impact invest; environmental
Journal of Financial Economics,finance,https://openalex.org/W4406791808,https://doi.org/10.1016/j.jfineco.2024.103991,ESG: A panacea for market power?,2025-01-24,Philip Bond; Doron Levit,14,,esg
Journal of Financial Economics,finance,https://openalex.org/W4410079896,https://doi.org/10.1016/j.jfineco.2025.104070,Redeploying dirty assets: The impact of environmental,2025-05-05,Jason Chen,2,,environmental
Journal of Financial Economics,finance,https://openalex.org/W4410779021,https://doi.org/10.1016/j.jfineco.2025.104076,CRISK: Measuring the climate risk exposure of the financial system,2025-05-27,Hyeyoon Jung; Robert Engle; Richard Berner,37,,climate; climate risk
Journal of Financial Economics,finance,https://openalex.org/W4410841599,https://doi.org/10.1016/j.jfineco.2025.104105,"Too Levered for Pigou: Carbon pricing, financial constraints, and leverage regulation",2025-05-29,Robin Döttling; Magdalena Rola-Janicka,6,,carbon
Journal of Financial Economics,finance,https://openalex.org/W4412906955,https://doi.org/10.1016/j.jfineco.2025.104129,Measurement and effects of bank exit policies,2025-08-04,Dan Green; B L Vallee,11,"We study whether exit policies by financial institutions have financial and real consequences on the firms they target, using bank coal exit policies as a laboratory. In contrast to theories assuming high capital substitutability, we find large effects of these policies. Bank exit policies negatively affect both the financing and operation of coal assets. Substitution to other sources and providers of capital appears to be limited. Coal power plants owned by firms exposed to exit policies are more likely to retire, translating into lower CO2 emissions. Exit policies have reduced CO2e emissions from energy production by an estimated 0.62 gigaton.",emission
Journal of Financial Economics,finance,https://openalex.org/W4412906806,https://doi.org/10.1016/j.jfineco.2025.104147,"Polarization, purpose and profit",2025-08-04,Daniel Ferreira; Radoslawa Nikolowa,1,"We present a model in which firms compete for workers who value nonpecuniary job attributes, such as purpose, sustainability, political stances, or working conditions. Firms adopt production technologies that enable them to offer jobs with varying levels of these desirable attributes. Firms’ profits are higher when they cater to workers with extreme preferences. In a competitive assignment equilibrium, firms become polarized and not only reflect but also amplify the polarized preferences of the general population. More polarized sectors exhibit higher profits, lower average wages, and a reduced labor share of value added. Sustainable investing amplifies firm polarization.",sustainable; sustainability
Journal of Financial Economics,finance,https://openalex.org/W4413142703,https://doi.org/10.1016/j.jfineco.2025.104151,Responsible investing: Costs and benefits for university endowment funds,2025-08-09,George O. Aragon; Yuxiang Jiang; Juha Joenväärä; Cristian Ioan Tiu,3,,responsible invest
Journal of Financial Economics,finance,https://openalex.org/W4413986054,https://doi.org/10.1016/j.jfineco.2025.104150,ESG lending,2025-09-04,Sehoon Kim; Nitish Kumar; Jongsub Lee; Junho Oh,5,,esg
Journal of Financial Economics,finance,https://openalex.org/W4415757242,https://doi.org/10.1016/j.jfineco.2025.104167,The canary in the coal decline: Appalachian household finance and the transition from fossil fuels,2025-11-01,Joshua Blonz; Brigitte Roth Tran; Erin Troland,1,,fossil fuel
Review of Financial Studies,finance,https://openalex.org/W4406925094,https://doi.org/10.1093/rfs/hhaf003,Retraction of: Mortgage Finance and Climate Change: Securitization Dynamics in the Aftermath of Natural Disasters,2025-01-30,,0,,climate
Review of Financial Studies,finance,https://openalex.org/W4410957163,https://doi.org/10.1093/rfs/hhaf035,Does Private Equity Ownership Make Firms Cleaner? The Role of Environmental Liability Risks,2025-06-02,Aymeric Bellon,4,"Abstract This paper shows that private equity (PE) ownership, in private-to-private buyouts, leads to a reduction in pollution when the target company faces high potential liabilities for polluting. Conversely, PE-backed firms increase pollution when environmental liability risks are low, as shown by a novel natural experiment that reduced these risks for projects located on federal land. Exploiting specific PE deals within the energy industry, I find that PE governance is the main driver of the results. The results suggest that increasing litigation and regulation-related risks can mitigate the potentially detrimental effects of PE ownership on stakeholders.",pollution; environmental
Review of Financial Studies,finance,https://openalex.org/W4414494073,https://doi.org/10.1093/rfs/hhaf054,Willingness to Pay for Carbon Mitigation: Field Evidence from the Market for Carbon Offsets,2025-09-23,Matthias Rodemeier,0,"Abstract This paper estimates willingness to pay (WTP) for carbon mitigation from demand for carbon offsets in a field experiment with an online supermarket. The experiment randomizes whether the firm subsidizes the price of the offset or matches the offset’s impact on carbon mitigation. Consumers are price-elastic but fully impact-inelastic, implying that they buy the offset but their WTP for the carbon it mitigates is zero. If the firm informs consumers that it contributes to the offset costs, WTP increases to 16 EUR/tCO$ {}_{2} $. A complementary survey shows that consumers’ stated WTP is 238 EUR/tCO$ {}_{2} $, far above their revealed preferences.",carbon
Review of Financial Studies,finance,https://openalex.org/W4415197863,https://doi.org/10.1093/rfs/hhaf083,The Pace of Change: Socially Responsible Investing in Private Markets,2025-10-04,Deeksha Gupta; Alexandr Kopytov; Jan Starmans,2,"Abstract We show that socially responsible investors can have a negative impact by slowing the pace of firm reform. Investors with broad prosocial preferences value acquiring dirty firms with high negative production externalities because they can reform these firms. The anticipation of trading gains for dirty firms decreases the incentive of current firm owners to reduce externalities proactively, potentially causing delay in reform. The presence of financial investors—alongside socially responsible investors—can exacerbate delay. Investment mandates through which socially responsible investors commit to paying a premium for green firms can incentivize reform in a timely manner.",responsible invest; socially responsible
